S.No,Polling Station,Latitude,Longitude,Tukaram Bharat Parab,Milan R Vaingankar,Ramakant Khalap,Shripad Yesso Naik,Mr Sakharam Naik,Thomas Augustine Fernandes,Adv Nishal Naik,Shakeel Jamal Shaikh,Total Valid Votes,Rejected Votes,NOTA,Total Votes
1,"1 - Government Primary School, Tiracol",15.60502732397894,73.99546182054553,1,0,90,57,0,0,1,0,149,0,0,149
2,"2 - Government Primary School, Tiracol",15.60174077046497,73.99688943857676,54,4,172,458,2,1,4,1,696,0,8,704
3,"3 - Government Primary School, Tiracol",15.60598760487639,73.99830688003689,42,1,120,247,2,0,0,1,413,0,9,422
4,"4 - Government Primary School, Tiracol",15.60368348274539,73.99551894362556,43,2,135,268,3,2,1,3,457,0,5,462
5,"5 - Government Primary School, Tiracol",15.60299079524338,73.99811810785954,23,2,208,231,3,2,1,1,471,0,17,488
6,"6 - Government Primary School, Tiracol",15.60597844533357,73.99613985757662,38,4,244,366,0,2,1,1,656,0,8,664
